"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","neglog10_adjP","direction","deg_class"
"GADD45G",-0.0360020332057089,7.41841528585956,-0.85203881586145,0.394339741300353,0.655037127314838,-6.24088361702443,0.183734083625016,"None","Not significant"
"KRTAP5-5",0.00680959443458189,5.28152900009326,0.851870819309159,0.394432954696962,0.655106867740437,-6.24102415949558,0.183687847665998,"None","Not significant"
"CFHR3",0.00695304720273073,5.29701496636429,0.851800602958959,0.394471918405944,0.655106867740437,-6.24108289285107,0.183687847665998,"None","Not significant"
"TCEB3CL",-0.00566457899814573,5.46252470962018,-0.851789398720029,0.394478135958492,0.655106867740437,-6.24109226433099,0.183687847665998,"None","Not significant"
"NUP98",0.0135610650775353,6.15920574735793,0.851531976654398,0.394621003169217,0.655243611195881,-6.24130754408335,0.183597204850498,"None","Not significant"
"PPOX",-0.0217684627525759,7.70871930192271,-0.851525201003345,0.394624764025108,0.655243611195881,-6.24131320962117,0.183597204850498,"None","Not significant"
"TOM1L1",-0.0308458133726967,6.73229858648484,-0.850958687233912,0.394939286828349,0.655712441928318,-6.24178674728333,0.183286575660085,"None","Not significant"
"CD22",-0.0124120122463758,5.59445000930419,-0.850814674126855,0.395019265654438,0.655744749899134,-6.24190707480693,0.183265177823332,"None","Not significant"
"EFNB3",-0.0302494568208359,6.2633459438761,-0.850807802508403,0.395023082107499,0.655744749899134,-6.241912815754,0.183265177823332,"None","Not significant"
"CTBP2",0.0151434480612955,5.87378802970996,0.850611765095601,0.395131969436102,0.655786001047586,-6.2420765772206,0.183237858378267,"None","Not significant"
"POGZ",0.0218360531101603,6.76345053108778,0.850536180843028,0.395173956923483,0.655786001047586,-6.24213970707896,0.183237858378267,"None","Not significant"
"ERAP1",-0.00950346708742122,5.88935613773537,-0.850486461490004,0.395201577782397,0.655786001047586,-6.24218123087083,0.183237858378267,"None","Not significant"
"RPL24",-0.0225371838199238,12.7451993369968,-0.850484815261483,0.39520249234054,0.655786001047586,-6.24218260569946,0.183237858378267,"None","Not significant"
"DBP",0.0214568933348391,6.54303289687405,0.850423026647507,0.395236819776824,0.655786001047586,-6.24223420581919,0.183237858378267,"None","Not significant"
"EXOC5",0.0100986549016684,6.01293411334233,0.850415588750075,0.395240952115312,0.655786001047586,-6.24224041700873,0.183237858378267,"None","Not significant"
"RUSC1-AS1",0.00656298962395418,5.52480916372613,0.850212277521715,0.395353917657388,0.655835011664703,-6.24241017577249,0.183205402294731,"None","Not significant"
"DRG1",0.0208549957620556,9.0881768742568,0.850196737790395,0.395362552780765,0.655835011664703,-6.24242314931303,0.183205402294731,"None","Not significant"
"MARCHF3",0.0329225499966957,6.86378807293348,0.850188720253487,0.395367008013124,0.655835011664703,-6.24242984276217,0.183205402294731,"None","Not significant"
"PHETA1",0.0141531968650643,6.02627825337891,0.849969539127559,0.39548881564363,0.655890139804647,-6.242612801931,0.183168897929525,"None","Not significant"
"AQP4",-0.00661550577646268,5.37565257368266,-0.849951715973365,0.395498721674132,0.655890139804647,-6.24262767755221,0.183168897929525,"None","Not significant"
"ZSCAN25",0.0102665859877497,5.62483662120718,0.849906285551172,0.395523972381336,0.655890139804647,-6.24266559343522,0.183168897929525,"None","Not significant"
"ZNF10",-0.0175843532961947,6.34993420066407,-0.849838619901683,0.395561583470003,0.655890139804647,-6.24272206291558,0.183168897929525,"None","Not significant"
"HIRIP3",-0.0237344120947924,8.17245774536877,-0.849829302380719,0.395566762664705,0.655890139804647,-6.24272983837864,0.183168897929525,"None","Not significant"
"TEKT4P2",-0.0257974220945672,6.59847359659462,-0.849781575483854,0.395593292563068,0.655890139804647,-6.24276966509709,0.183168897929525,"None","Not significant"
"ARL14EP",-0.0229620501953765,8.00183049795594,-0.849660380633729,0.395660665849159,0.655948493277091,-6.2428707886621,0.183130261178845,"None","Not significant"
"MAB21L3",-0.00660488931798152,5.41027423851012,-0.849512007469834,0.395743157247818,0.656031898877512,-6.24299456987749,0.183075042987646,"None","Not significant"
"CNPY1",0.00670089825605977,5.44999072553164,0.849350294453182,0.39583307708272,0.656127604190214,-6.24312945535235,0.183011690492509,"None","Not significant"
"PVALEF",0.00678589894301584,5.42760245851215,0.848855285102795,0.396108401708777,0.656498569708252,-6.24354218519387,0.182766215756513,"None","Not significant"
"PTH2R",-0.0279495902681185,5.994262350159,-0.848832126060214,0.396121285622345,0.656498569708252,-6.243561488899,0.182766215756513,"None","Not significant"
"SH3RF3",-0.0130108100793867,6.28032716470276,-0.848437759522681,0.396340719776127,0.656808842584858,-6.24389012360161,0.182561008964196,"None","Not significant"
"LRRD1",0.00637610672695613,5.26278996835214,0.848221021845065,0.396461348629245,0.65692643704488,-6.24407067113012,0.182483260233507,"None","Not significant"
"TNKS2",-0.0105581381323009,5.51927506845401,-0.84811360434471,0.396521141794639,0.65692643704488,-6.24416013532978,0.182483260233507,"None","Not significant"
"ATP6V1G2",-0.0276153338122919,6.3570545107673,-0.848095833026771,0.396531034593992,0.65692643704488,-6.24417493533455,0.182483260233507,"None","Not significant"
"JOSD2",0.0197557926929493,6.97823992360293,0.848078678566916,0.396540584147032,0.65692643704488,-6.24418922132427,0.182483260233507,"None","Not significant"
"SLC16A2",0.0228730426212427,6.54406672082658,0.847677108856196,0.396764169867022,0.657243426193665,-6.24452356038913,0.182273749051336,"None","Not significant"
"RANBP2",-0.0120435022062594,5.69099639224386,-0.847580028030867,0.396818233893755,0.65727957243229,-6.2446043642373,0.182249864932159,"None","Not significant"
"CISH",-0.0310012025622464,6.83762123980529,-0.847444583401513,0.396893670045045,0.65735111016154,-6.2447170842068,0.182202599275722,"None","Not significant"
"PRPS1",-0.0233887561362636,8.47746019453362,-0.84731454253873,0.396966104707512,0.657417665485632,-6.24482529011152,0.182158630160309,"None","Not significant"
"RNASEH2B",-0.0278002894757774,6.45297661773469,-0.847091047617415,0.397090613297866,0.657570442898212,-6.24501121959689,0.182057716110793,"None","Not significant"
"HMOX2",-0.00988521965247202,5.61005289739333,-0.846927266830013,0.397181870230071,0.657618856346818,-6.24514744070015,0.182025742472319,"None","Not significant"
"GNG3",-0.01656777582438,5.56477006366295,-0.84692278279298,0.397184368866423,0.657618856346818,-6.24515116983012,0.182025742472319,"None","Not significant"
"CPD",-0.0300229493850983,8.8727211798347,-0.846806489856646,0.397249174000752,0.657672737107556,-6.24524787746124,0.181990160830653,"None","Not significant"
"WASH3P",0.0188650774909539,7.03784722902459,0.84660067409801,0.397363882062987,0.657809220062855,-6.24541899854377,0.181900043601375,"None","Not significant"
"OR10J3",0.00687311877683277,5.33457344133465,0.846489029649016,0.397426113643119,0.657858816615101,-6.24551180553462,0.181867300525809,"None","Not significant"
"FPGS",0.0115156089824073,5.65827347607449,0.84637414779432,0.397490155922222,0.657889410583554,-6.24560729092903,0.181847103969346,"None","Not significant"
"HOMEZ",0.00734627827269981,5.38847191906829,0.846340090957864,0.397509142514478,0.657889410583554,-6.24563559517827,0.181847103969346,"None","Not significant"
"NFKBIL1",-0.00790448460114594,5.51959904003867,-0.846182389258897,0.397597067911785,0.657981509123374,-6.24576664443393,0.181786310943067,"None","Not significant"
"MAP4K1",-0.0372192375528192,7.17518563121244,-0.845979131863656,0.397710409856641,0.658115651020994,-6.24593551424201,0.181697780874172,"None","Not significant"
"MFAP2",-0.0340238615567158,7.07522167591353,-0.845845715709462,0.397784816991899,0.658185348569793,-6.24604633669169,0.181651789477245,"None","Not significant"
"GCKR",0.00625522812991045,5.4711792332761,0.845700814546764,0.397865638912482,0.658265648018095,-6.2461666794118,0.181598808230802,"None","Not significant"
"SLED1",0.00621119930175532,5.52274897627019,0.845547824169041,0.397950983528622,0.658353416590729,-6.24629371800073,0.18154090627896,"None","Not significant"
"CCDC91",-0.0221182532864614,6.92029496693833,-0.84542028584137,0.398022138336276,0.658365618748035,-6.24639960442824,0.18153285698455,"None","Not significant"
"CDH16",0.00689915408809557,5.436225089872,0.845418826719682,0.398022952438106,0.658365618748035,-6.2464008157458,0.18153285698455,"None","Not significant"
"ADAM19",0.0338363129830892,7.80350365038509,0.845129976578113,0.398184133162777,0.65857878738525,-6.24664056903311,0.181392261886937,"None","Not significant"
